"Level","current_ratio","current_ratio_cat","Level_Type"
"Dawson",1.4375,"(1.1,1.5]","County"
"Deaf Smith",0.38961038961039,"(0,0.5]","County"
"Delta",NA,NA,"County"
"Denton",1.40253565768621,"(1.1,1.5]","County"
"DeWitt",0.934426229508197,"(0.9,1.1]","County"
"Dickens",NA,NA,"County"
"Dimmit",1.25,"(1.1,1.5]","County"
"Donley",NA,NA,"County"
"Duval",1.5,"(1.1,1.5]","County"
"Eastland",NA,NA,"County"
"Ector",0.933333333333333,"(0.9,1.1]","County"
"Edwards",NA,NA,"County"
"El Paso",1.12875751503006,"(1.1,1.5]","County"
"Ellis",0.789674952198853,"(0.5,0.9]","County"
"Erath",0.680412371134021,"(0.5,0.9]","County"
"Falls",0.933333333333333,"(0.9,1.1]","County"
"Fannin",0.676470588235294,"(0.5,0.9]","County"
"Fayette",1.48780487804878,"(1.1,1.5]","County"
"Fisher",NA,NA,"County"
"Floyd",0.8,"(0.5,0.9]","County"
"Foard",NA,NA,"County"
"Fort Bend",1.59816513761468,"(1.5,2]","County"
"Franklin",NA,NA,"County"
"Freestone",0.818181818181818,"(0.5,0.9]","County"
"Frio",0.720588235294118,"(0.5,0.9]","County"
"Gaines",0.769230769230769,"(0.5,0.9]","County"
"Galveston",0.927236315086782,"(0.9,1.1]","County"
"Garza",NA,NA,"County"
"Gillespie",1.28571428571429,"(1.1,1.5]","County"
"Glasscock",NA,NA,"County"
"Goliad",NA,NA,"County"
"Gonzales",3.78947368421053,"(2,4]","County"
"Gray",NA,NA,"County"
"Grayson",0.97029702970297,"(0.9,1.1]","County"
"Gregg",0.83617747440273,"(0.5,0.9]","County"
"Grimes",0.612903225806452,"(0.5,0.9]","County"
"Guadalupe",1.25,"(1.1,1.5]","County"
"Hale",0.636986301369863,"(0.5,0.9]","County"
"Hall",NA,NA,"County"
"Hamilton",NA,NA,"County"
"Hansford",NA,NA,"County"
"Hardeman",NA,NA,"County"
"Hardin",3.71428571428571,"(2,4]","County"
"Harris",1.44806374947574,"(1.1,1.5]","County"
"Harrison",1.41791044776119,"(1.1,1.5]","County"
"Hartley",1,"(0.9,1.1]","County"
"Haskell",NA,NA,"County"
"Hays",1.09158415841584,"(0.9,1.1]","County"
"Hemphill",NA,NA,"County"
"Henderson",1.41463414634146,"(1.1,1.5]","County"
"Hidalgo",1.83725490196078,"(1.5,2]","County"
"Hill",0.928571428571429,"(0.9,1.1]","County"
"Hockley",0.5,"(0,0.5]","County"
"Hood",0.772151898734177,"(0.5,0.9]","County"
"Hopkins",NA,NA,"County"
"Houston",2,"(1.5,2]","County"
"Howard",0.761904761904762,"(0.5,0.9]","County"
"Hudspeth",NA,NA,"County"
"Hunt",0.923566878980892,"(0.9,1.1]","County"
"Hutchinson",NA,NA,"County"
"Irion",NA,NA,"County"
"Jack",NA,NA,"County"
"Jackson",1.84615384615385,"(1.5,2]","County"
"Jasper",1.16666666666667,"(1.1,1.5]","County"
"Jeff Davis",NA,NA,"County"
"Jefferson",0.618012422360248,"(0.5,0.9]","County"
"Jim Hogg",1.36363636363636,"(1.1,1.5]","County"
"Jim Wells",1.71052631578947,"(1.5,2]","County"
"Johnson",0.447368421052632,"(0,0.5]","County"
"Jones",NA,NA,"County"
"Karnes",2.72727272727273,"(2,4]","County"
"Kaufman",0.840637450199203,"(0.5,0.9]","County"
"Kendall",0.481481481481481,"(0,0.5]","County"
"Kenedy",NA,NA,"County"
"Kent",NA,NA,"County"
"Kerr",2.71428571428571,"(2,4]","County"
"Kimble",NA,NA,"County"
"King",NA,NA,"County"
"Kinney",NA,NA,"County"
"Kleberg",3.55882352941176,"(2,4]","County"
"Knox",NA,NA,"County"
"La Salle",1.25,"(1.1,1.5]","County"
"Lamar",1.10344827586207,"(1.1,1.5]","County"
"Lamb",1.14814814814815,"(1.1,1.5]","County"
"Lampasas",1,"(0.9,1.1]","County"
"Lavaca",2.43548387096774,"(2,4]","County"
"Lee",0.533333333333333,"(0.5,0.9]","County"
"Leon",0.490196078431373,"(0,0.5]","County"
"Liberty",1.28155339805825,"(1.1,1.5]","County"
"Limestone",0.8,"(0.5,0.9]","County"
"Lipscomb",NA,NA,"County"
"Live Oak",0.6875,"(0.5,0.9]","County"
"Llano",1.52941176470588,"(1.5,2]","County"
"Loving",NA,NA,"County"
"Lubbock",1.0749354005168,"(0.9,1.1]","County"
"Lynn",0.545454545454545,"(0.5,0.9]","County"
"Madison",1.11666666666667,"(1.1,1.5]","County"
"Marion",NA,NA,"County"
"Martin",NA,NA,"County"
"Mason",NA,NA,"County"
"Matagorda",1.89090909090909,"(1.5,2]","County"
"Maverick",0.88477366255144,"(0.5,0.9]","County"
"McCulloch",NA,NA,"County"
"McLennan",0.594238683127572,"(0.5,0.9]","County"
"McMullen",NA,NA,"County"
"Medina",1.44642857142857,"(1.1,1.5]","County"
"Menard",NA,NA,"County"
"Midland",0.972027972027972,"(0.9,1.1]","County"
"Milam",1.34883720930233,"(1.1,1.5]","County"
"Mills",NA,NA,"County"
"Mitchell",0.5,"(0,0.5]","County"
"Montague",NA,NA,"County"
"Montgomery",2.92220113851992,"(2,4]","County"
"Moore",0.75,"(0.5,0.9]","County"
"Morris",0.5,"(0,0.5]","County"
"Motley",NA,NA,"County"
"Nacogdoches",1.23,"(1.1,1.5]","County"
"Navarro",0.522988505747126,"(0.5,0.9]","County"
"Newton",NA,NA,"County"
"Nolan",1.61538461538462,"(1.5,2]","County"
"Nueces",1.21008792225821,"(1.1,1.5]","County"
"Ochiltree",NA,NA,"County"
"Oldham",NA,NA,"County"
"Orange",0.323529411764706,"(0,0.5]","County"
"Palo Pinto",0.866666666666667,"(0.5,0.9]","County"
"Panola",NA,NA,"County"
"Parker",0.788177339901478,"(0.5,0.9]","County"
"Parmer",0.193548387096774,"(0,0.5]","County"
"Pecos",NA,NA,"County"
"Polk",1.17699115044248,"(1.1,1.5]","County"
"Potter",0.669642857142857,"(0.5,0.9]","County"
"Presidio",NA,NA,"County"
"Rains",NA,NA,"County"
"Randall",1.61764705882353,"(1.5,2]","County"
"Reagan",1.35714285714286,"(1.1,1.5]","County"
"Real",NA,NA,"County"
"Red River",NA,NA,"County"
"Reeves",0.875,"(0.5,0.9]","County"
"Refugio",1.12,"(1.1,1.5]","County"
"Roberts",NA,NA,"County"
"Robertson",1.18181818181818,"(1.1,1.5]","County"
"Rockwall",1.48387096774194,"(1.1,1.5]","County"
"Runnels",NA,NA,"County"
"Rusk",NA,NA,"County"
"Sabine",NA,NA,"County"
"San Augustine",NA,NA,"County"
"San Jacinto",2.4,"(2,4]","County"
"San Patricio",1.07777777777778,"(0.9,1.1]","County"
"San Saba",NA,NA,"County"
"Schleicher",NA,NA,"County"
"Scurry",6.47619047619048,"(4,8]","County"
"Shackelford",NA,NA,"County"
"Shelby",2.27272727272727,"(2,4]","County"
"Sherman",NA,NA,"County"
"Smith",0.792156862745098,"(0.5,0.9]","County"
"Somervell",0.846153846153846,"(0.5,0.9]","County"
"Starr",1.53535353535354,"(1.5,2]","County"
"Stephens",NA,NA,"County"
"Sterling",NA,NA,"County"
"Stonewall",NA,NA,"County"
"Sutton",1,"(0.9,1.1]","County"
"Swisher",0.6875,"(0.5,0.9]","County"
"Tarrant",1.14272445820433,"(1.1,1.5]","County"
"Taylor",1.25287356321839,"(1.1,1.5]","County"
"Terrell",NA,NA,"County"
"Terry",0.5,"(0,0.5]","County"
"Throckmorton",NA,NA,"County"
"Titus",0.698412698412698,"(0.5,0.9]","County"
"Tom Green",2.26296296296296,"(2,4]","County"
"Travis",1.12248929864998,"(1.1,1.5]","County"
"Trinity",2.84615384615385,"(2,4]","County"
"Tyler",NA,NA,"County"
"Upshur",1.55,"(1.5,2]","County"
"Upton",NA,NA,"County"
"Uvalde",0.946236559139785,"(0.9,1.1]","County"
"Val Verde",0.967741935483871,"(0.9,1.1]","County"
"Van Zandt",1.05,"(0.9,1.1]","County"
"Victoria",1.21441774491682,"(1.1,1.5]","County"
"Walker",2.75,"(2,4]","County"
"Waller",1.05357142857143,"(0.9,1.1]","County"
"Ward",2.45454545454545,"(2,4]","County"
"Washington",0.483870967741935,"(0,0.5]","County"
"Webb",2.16457960644007,"(2,4]","County"
"Wharton",2.51063829787234,"(2,4]","County"
"Wheeler",NA,NA,"County"
"Wichita",0.781456953642384,"(0.5,0.9]","County"
"Wilbarger",NA,NA,"County"
"Willacy",2.27710843373494,"(2,4]","County"
"Williamson",0.802357207615594,"(0.5,0.9]","County"
"Wilson",1.16363636363636,"(1.1,1.5]","County"
"Winkler",0.642857142857143,"(0.5,0.9]","County"
"Wise",0.979166666666667,"(0.9,1.1]","County"
"Wood",1.73076923076923,"(1.5,2]","County"
"Yoakum",0.5,"(0,0.5]","County"
"Young",2.16666666666667,"(2,4]","County"
"Zapata",NA,NA,"County"
"Zavala",2.11111111111111,"(2,4]","County"
"Non-Metro",1.24435542607429,"(1.1,1.24]","Metro"
"Metro",1.13501237801011,"(1.1,1.24]","Metro"
"A - Amarillo",0.943396226415094,"(0.9,1.1]","TSA"
"B - Lubbock",1.13328255902513,"(1.1,1.5]","TSA"
"C - Wichita Falls",0.881720430107527,"(0.5,0.9]","TSA"
"D - Abilene",1.28947368421053,"(1.1,1.5]","TSA"
"E - Dallas/Ft. Worth",1.06288593938534,"(0.9,1.1]","TSA"
"F - Paris",1.2914979757085,"(1.1,1.5]","TSA"
"G - Longview/Tyler",1.00980392156863,"(0.9,1.1]","TSA"
"H - Lufkin",1.7007874015748,"(1.5,2]","TSA"
"I - El Paso",1.12906453226613,"(1.1,1.5]","TSA"
"J - Midland/Odessa",0.961053837342497,"(0.9,1.1]","TSA"
"K - San Angelo",2.19939577039275,"(2,2.2]","TSA"
"L - Belton/Killeen",1.40747330960854,"(1.1,1.5]","TSA"
"M - Waco",0.611195158850227,"(0.5,0.9]","TSA"
"N - Bryan/College Station",0.804983748645721,"(0.5,0.9]","TSA"
"O - Austin",1.04031943903389,"(0.9,1.1]","TSA"
"P - San Antonio",0.516350210970464,"(0.5,0.9]","TSA"
"Q - Houston",1.56483312013025,"(1.5,2]","TSA"
"R - Galveston",0.957420005039053,"(0.9,1.1]","TSA"
"S - Victoria",1.34615384615385,"(1.1,1.5]","TSA"
"T - Laredo",2.1986183074266,"(2,2.2]","TSA"
"U - Corpus Christi",1.22161529457667,"(1.1,1.5]","TSA"
"V - Lower Rio Grande Valley",2.10202395704254,"(2,2.2]","TSA"
"Texas",1.14605749599956,"(1.1,1.15]","State"
"2/3 - Arlington PHR",1.08120855834302,"(0.9,1.1]","PHR"
"9/10 - El Paso PHR",1.19261786600496,"(1.1,1.5]","PHR"
"11 - Harlingen PHR",1.70645335250764,"(1.5,1.71]","PHR"
"6/5S - Houston PHR",1.37211155378486,"(1.1,1.5]","PHR"
"1 - Lubbock PHR",0.948979591836735,"(0.9,1.1]","PHR"
"8 - San Antonio PHR",0.610504987531172,"(0.5,0.9]","PHR"
"7 - Temple PHR",0.966892400300978,"(0.9,1.1]","PHR"
"4/5N - Tyler PHR",1.16190881976992,"(1.1,1.5]","PHR"
