"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2021-07-02,"Age","<1 year",284,0.0035425164340331,7,0.000136417671934987
2021-07-02,"Age","1-9 years",1409,0.0175753720265938,13,0.000253347105022119
2021-07-02,"Age","10-19 years",3898,0.0486222854220459,35,0.000682088359674936
2021-07-02,"Age","20-29 years",15907,0.198418341254101,271,0.00528131272776879
2021-07-02,"Age","30-39 years",17455,0.217727550549464,895,0.0174419737688305
2021-07-02,"Age","40-49 years",15307,0.190934151604735,2603,0.0507278857209674
2021-07-02,"Age","50-59 years",12918,0.161134603150844,5874,0.114473914992302
2021-07-02,"Age","60-64 years",4676,0.0583267846673901,4849,0.0944984701732504
2021-07-02,"Age","65-69 years",3163,0.0394541531015729,6236,0.121528657455226
2021-07-02,"Age","70-74 years",1920,0.0239494068779703,6863,0.133747783212831
2021-07-02,"Age","75-79 years",1271,0.0158540084072397,6753,0.131604076939567
2021-07-02,"Age","80+ years",1961,0.0244608265040103,16914,0.329624071872625
2021-07-02,"Gender","Female",27435,0.346038873402873,21524,0.419473027751793
2021-07-02,"Gender","Male",51848,0.653961126597127,29788,0.580526972248207
2021-07-02,"Race","Asian",987,0.0138142425260329,1092,0.0212906999415091
2021-07-02,"Race","Black",13142,0.183937968872467,5244,0.102242152466368
2021-07-02,"Race","Hispanic",28717,0.401928675400291,23822,0.46445700916358
2021-07-02,"Race","Other",593,0.00829974247004815,281,0.00547865080912459
2021-07-02,"Race","White",28009,0.392019370731161,20851,0.406531487619419
