"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2021-08-20,"Age","<1 year",363,0.00363185224464477,8,0.000148870445494808
2021-08-20,"Age","1-9 years",2021,0.0202203123593032,14,0.000260523279615914
2021-08-20,"Age","10-19 years",5370,0.053727400974497,37,0.000688525810413488
2021-08-20,"Age","20-29 years",20390,0.204004042061451,309,0.00575012095723696
2021-08-20,"Age","30-39 years",21489,0.214999649821409,1012,0.0188321113550932
2021-08-20,"Age","40-49 years",18595,0.186044882890274,2868,0.0533700547098887
2021-08-20,"Age","50-59 years",15423,0.154308697435692,6271,0.116695820462243
2021-08-20,"Age","60-64 years",5596,0.0559885541626229,5133,0.0955189995906063
2021-08-20,"Age","65-69 years",3845,0.038469619505948,6515,0.121236369049834
2021-08-20,"Age","70-74 years",2436,0.024372429939269,7127,0.132624958130187
2021-08-20,"Age","75-79 years",1655,0.0165584448068515,7015,0.13054077189326
2021-08-20,"Age","80+ years",2766,0.027674113798037,17429,0.324332874316126
2021-08-20,"Gender","Female",37491,0.379771069692058,22536,0.419375849042559
2021-08-20,"Gender","Male",61229,0.620228930307942,31201,0.580624150957441
2021-08-20,"Race","Asian",1395,0.0162205530103951,1120,0.0208507865586894
2021-08-20,"Race","Black",14755,0.171565777540057,5482,0.102057153495299
2021-08-20,"Race","Hispanic",36994,0.430152787144485,24668,0.459238573955134
2021-08-20,"Race","Other",795,0.00924397107044022,299,0.00556641534022154
2021-08-20,"Race","White",32063,0.372816911234622,22146,0.412287070650656
