"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2021-09-03,"Age","<1 year",363,0.00363185224464477,10,0.000176684688504894
2021-09-03,"Age","1-9 years",2021,0.0202203123593032,14,0.000247358563906852
2021-09-03,"Age","10-19 years",5370,0.053727400974497,43,0.000759744160571045
2021-09-03,"Age","20-29 years",20390,0.204004042061451,368,0.00650199653698011
2021-09-03,"Age","30-39 years",21489,0.214999649821409,1177,0.020795787837026
2021-09-03,"Age","40-49 years",18595,0.186044882890274,3226,0.0569984805116789
2021-09-03,"Age","50-59 years",15423,0.154308697435692,6801,0.120163256652179
2021-09-03,"Age","60-64 years",5596,0.0559885541626229,5420,0.0957631011696526
2021-09-03,"Age","65-69 years",3845,0.038469619505948,6804,0.12021626205873
2021-09-03,"Age","70-74 years",2436,0.024372429939269,7472,0.132018799250857
2021-09-03,"Age","75-79 years",1655,0.0165584448068515,7282,0.128661790169264
2021-09-03,"Age","80+ years",2766,0.027674113798037,17981,0.31769673840065
2021-09-03,"Gender","Female",37491,0.379771069692058,23678,0.418361397247204
2021-09-03,"Gender","Male",61229,0.620228930307942,32919,0.581638602752796
2021-09-03,"Race","Asian",1395,0.0162205530103951,1144,0.020222375422036
2021-09-03,"Race","Black",14755,0.171565777540057,5753,0.101695214862739
2021-09-03,"Race","Hispanic",36994,0.430152787144485,25727,0.454773647275106
2021-09-03,"Race","Other",795,0.00924397107044022,316,0.00558590090328967
2021-09-03,"Race","White",32063,0.372816911234622,23631,0.41772286153683
