"Date","Group_Type","Group","Cases_Cumulative","Cases_PCT","Deaths_Cumulative","Deaths_PCT"
2021-09-17,"Age","<1 year",363,0.00363185224464477,11,0.000182248952068526
2021-09-17,"Age","1-9 years",2021,0.0202203123593032,16,0.000265089384826946
2021-09-17,"Age","10-19 years",5370,0.053727400974497,52,0.000861540500687576
2021-09-17,"Age","20-29 years",20390,0.204004042061451,423,0.00700830061136239
2021-09-17,"Age","30-39 years",21489,0.214999649821409,1398,0.0231621849992544
2021-09-17,"Age","40-49 years",18595,0.186044882890274,3669,0.0607883095581291
2021-09-17,"Age","50-59 years",15423,0.154308697435692,7471,0.123780174627632
2021-09-17,"Age","60-64 years",5596,0.0559885541626229,5870,0.0972546680583859
2021-09-17,"Age","65-69 years",3845,0.038469619505948,7245,0.120035787066952
2021-09-17,"Age","70-74 years",2436,0.024372429939269,7894,0.130788475238995
2021-09-17,"Age","75-79 years",1655,0.0165584448068515,7638,0.126547045081764
2021-09-17,"Age","80+ years",2766,0.027674113798037,18670,0.309326175919943
2021-09-17,"Gender","Female",37491,0.379771069692058,25226,0.41795347604215
2021-09-17,"Gender","Male",61229,0.620228930307942,35130,0.58204652395785
2021-09-17,"Race","Asian",1395,0.0162205530103951,1192,0.0197589802244434
2021-09-17,"Race","Black",14755,0.171565777540057,6133,0.101662605466872
2021-09-17,"Race","Hispanic",36994,0.430152787144485,27112,0.449417342151939
2021-09-17,"Race","Other",795,0.00924397107044022,338,0.00560279808377675
2021-09-17,"Race","White",32063,0.372816911234622,25552,0.423558274072969
