"Demo_Group","Demo_Count","Demo_PCT","Demographic","Source","Type","Investigation_Type","Date"
"<1 year",38,0.003,"Age","DSHS","Current","Case",2020-05-28
"1-9 years",170,0.011,"Age","DSHS","Current","Case",2020-05-28
"10-19 years",440,0.0295738674553,"Age","DSHS","Current","Case",2020-05-28
"20-29 years",2306,0.155,"Age","DSHS","Current","Case",2020-05-28
"30-39 years",2728,0.183,"Age","DSHS","Current","Case",2020-05-28
"40-49 years",2795,0.1878612716763,"Age","DSHS","Current","Case",2020-05-28
"50-59 years",2735,0.184,"Age","DSHS","Current","Case",2020-05-28
"60-64 years",1154,0.078,"Age","DSHS","Current","Case",2020-05-28
"65-69 years",833,0.0559887081597,"Age","DSHS","Current","Case",2020-05-28
"70-74 years",544,0.037,"Age","DSHS","Current","Case",2020-05-28
"75-79 years",362,0.0243312273155,"Age","DSHS","Current","Case",2020-05-28
"80+ years",650,0.0436886678317,"Age","DSHS","Current","Case",2020-05-28
"Unknown",123,0.008,"Age","DSHS","Current","Case",2020-05-28
"Female",6718,0.452,"Gender","DSHS","Current","Case",2020-05-28
"Male",7878,0.53,"Gender","DSHS","Current","Case",2020-05-28
"Unknown",282,0.019,"Gender","DSHS","Current","Case",2020-05-28
"Asian",498,0.033,"Race","DSHS","Current","Case",2020-05-28
"Black",2341,0.157,"Race","DSHS","Current","Case",2020-05-28
"Hispanic",5912,0.397,"Race","DSHS","Current","Case",2020-05-28
"Other",96,0.006,"Race","DSHS","Current","Case",2020-05-28
"White",4093,0.275,"Race","DSHS","Current","Case",2020-05-28
"Unknown",1938,0.13,"Race","DSHS","Current","Case",2020-05-28
"<1 year",0,0,"Age","DSHS","Current","Death",2020-05-28
"1-9 years",0,0,"Age","DSHS","Current","Death",2020-05-28
"10-19 years",2,0.0040733197556,"Age","DSHS","Current","Death",2020-05-28
"20-29 years",11,0.0224032586558,"Age","DSHS","Current","Death",2020-05-28
"30-39 years",9,0.0183299389002,"Age","DSHS","Current","Death",2020-05-28
"40-49 years",21,0.043,"Age","DSHS","Current","Death",2020-05-28
"50-59 years",54,0.11,"Age","DSHS","Current","Death",2020-05-28
"60-64 years",45,0.092,"Age","DSHS","Current","Death",2020-05-28
"65-69 years",58,0.118,"Age","DSHS","Current","Death",2020-05-28
"70-74 years",45,0.092,"Age","DSHS","Current","Death",2020-05-28
"75-79 years",45,0.092,"Age","DSHS","Current","Death",2020-05-28
"80+ years",198,0.403,"Age","DSHS","Current","Death",2020-05-28
"Unknown",3,0.0061099796334,"Age","DSHS","Current","Death",2020-05-28
"Female",192,0.391,"Gender","DSHS","Current","Death",2020-05-28
"Male",268,0.546,"Gender","DSHS","Current","Death",2020-05-28
"Unknown",31,0.063,"Gender","DSHS","Current","Death",2020-05-28
"Asian",6,0.0122199592668,"Race","DSHS","Current","Death",2020-05-28
"Black",67,0.136,"Race","DSHS","Current","Death",2020-05-28
"Hispanic",122,0.248,"Race","DSHS","Current","Death",2020-05-28
"Other",1,0.0020366598778,"Race","DSHS","Current","Death",2020-05-28
"White",181,0.369,"Race","DSHS","Current","Death",2020-05-28
"Unknown",114,0.232,"Race","DSHS","Current","Death",2020-05-28
