TSA,"B.1.1.7 
        ALPHA","B.1.351 
        BETA","B.1.617.2 
        DELTA","P.1 
        GAMMA",Date
A,2,0,0,0,2021-07-26
B,7,1,2,0,2021-07-26
D,4,0,0,0,2021-07-26
E,420,9,7,15,2021-07-26
F,2,0,0,0,2021-07-26
G,10,0,0,0,2021-07-26
H,11,0,0,0,2021-07-26
I,55,0,0,1,2021-07-26
J,15,0,0,0,2021-07-26
K,1,0,0,0,2021-07-26
L,95,0,0,0,2021-07-26
M,32,0,0,0,2021-07-26
N,56,0,0,1,2021-07-26
O,210,1,0,3,2021-07-26
P,156,1,2,4,2021-07-26
Q,937,4,7,26,2021-07-26
R,377,1,7,15,2021-07-26
S,4,0,0,0,2021-07-26
T,2,0,0,0,2021-07-26
U,47,0,0,0,2021-07-26
V,43,0,0,10,2021-07-26
Pending patient info from lab,"4,541",7,562,252,2021-07-26
