TSA,"B.1.1.7 
        ALPHA","B.1.351 
        BETA","B.1.617.2 
        DELTA","P.1 
        GAMMA",Date
A,2,0,0,0,2021-08-17
B,7,1,2,0,2021-08-17
D,4,0,0,0,2021-08-17
E,416,9,7,0,2021-08-17
F,2,0,0,0,2021-08-17
G,10,0,0,0,2021-08-17
H,10,0,0,0,2021-08-17
I,52,0,0,0,2021-08-17
J,13,0,1,0,2021-08-17
K,1,0,0,0,2021-08-17
L,94,0,0,0,2021-08-17
M,33,0,0,0,2021-08-17
N,56,0,0,0,2021-08-17
O,211,1,0,1,2021-08-17
P,156,1,3,0,2021-08-17
Q,939,4,6,1,2021-08-17
R,379,1,5,0,2021-08-17
S,3,0,0,0,2021-08-17
T,2,0,0,0,2021-08-17
U,47,0,0,1,2021-08-17
V,42,0,1,0,2021-08-17
Pending patient info from lab,"4,696",8,"3,210",1,2021-08-17
