TSA,"B.1.1.7 
                        ALPHA","B.1.351 
                        BETA","B.1.617.2 
                        DELTA","P.1 
                        GAMMA",Date
A,2,0,0,0,2021-07-29
B,7,1,2,0,2021-07-29
D,4,0,0,0,2021-07-29
E,420,9,7,15,2021-07-29
F,2,0,0,0,2021-07-29
G,10,0,3,0,2021-07-29
H,11,0,0,0,2021-07-29
I,55,0,0,1,2021-07-29
J,15,0,0,0,2021-07-29
K,1,0,0,0,2021-07-29
L,95,0,0,0,2021-07-29
M,32,0,0,0,2021-07-29
N,56,0,0,1,2021-07-29
O,210,1,0,3,2021-07-29
P,156,1,2,4,2021-07-29
Q,936,4,7,26,2021-07-29
R,377,1,7,15,2021-07-29
S,4,0,0,0,2021-07-29
T,2,0,0,0,2021-07-29
U,47,0,0,0,2021-07-29
V,43,0,0,10,2021-07-29
Pending patient info from lab,"4,596",8,940,267,2021-07-29
