TSA,"B.1.1.7 
        ALPHA","B.1.351 
        BETA","B.1.617.2 
        DELTA","P.1 
        GAMMA",Date
A,2,0,0,0,2021-07-09
B,7,1,2,0,2021-07-09
D,4,0,0,0,2021-07-09
E,420,9,7,15,2021-07-09
F,2,0,0,0,2021-07-09
G,10,0,0,0,2021-07-09
H,11,0,0,0,2021-07-09
I,55,0,0,1,2021-07-09
J,15,0,0,0,2021-07-09
K,1,0,0,0,2021-07-09
L,95,0,0,0,2021-07-09
M,32,0,0,0,2021-07-09
N,56,0,0,1,2021-07-09
O,210,1,0,3,2021-07-09
P,156,1,2,4,2021-07-09
Q,937,4,7,35,2021-07-09
R,377,1,7,6,2021-07-09
S,4,0,0,0,2021-07-09
T,2,0,0,0,2021-07-09
U,47,1,0,0,2021-07-09
V,43,0,0,10,2021-07-09
Pending patient info from lab,"2,552",5,194,123,2021-07-09
