TSA,"B.1.1.7                                   
                        ALPHA","B.1.351                                   
                        BETA","B.1.617.2                                   
                        DELTA","P.1                                   
                        GAMMA",Date
A,2,0,0,0,2021-07-13
B,7,1,2,0,2021-07-13
D,4,0,0,0,2021-07-13
E,420,9,7,15,2021-07-13
F,2,0,0,0,2021-07-13
G,10,0,0,0,2021-07-13
H,11,0,0,0,2021-07-13
I,55,0,0,1,2021-07-13
J,15,0,0,0,2021-07-13
K,1,0,0,0,2021-07-13
L,95,0,0,0,2021-07-13
M,32,0,0,0,2021-07-13
N,56,0,0,1,2021-07-13
O,210,1,0,3,2021-07-13
P,156,1,2,4,2021-07-13
Q,937,4,7,35,2021-07-13
R,377,1,7,6,2021-07-13
S,4,0,0,0,2021-07-13
T,2,0,0,0,2021-07-13
U,47,1,0,0,2021-07-13
V,43,0,0,10,2021-07-13
Pending patient info from lab,"2,552",5,194,123,2021-07-13
