TSA,"B.1.1.7 
        ALPHA","B.1.351 
        BETA","B.1.617.2 
        DELTA","P.1 
        GAMMA",Date
A,2,0,0,0,2021-07-01
B,7,1,2,0,2021-07-01
D,4,0,0,0,2021-07-01
E,420,9,7,15,2021-07-01
F,2,0,0,0,2021-07-01
G,10,0,0,0,2021-07-01
H,11,0,0,0,2021-07-01
I,55,0,0,1,2021-07-01
J,15,0,0,0,2021-07-01
K,1,0,0,0,2021-07-01
L,95,0,0,0,2021-07-01
M,32,0,0,0,2021-07-01
N,56,0,0,1,2021-07-01
O,210,1,0,3,2021-07-01
P,156,1,2,4,2021-07-01
Q,937,4,7,26,2021-07-01
R,377,1,7,16,2021-07-01
S,4,0,0,0,2021-07-01
T,2,0,0,0,2021-07-01
U,47,0,0,0,2021-07-01
V,43,0,0,10,2021-07-01
Pending patient info from lab,"2,174",4,95,105,2021-07-01
