TSA,"B.1.1.7 
        ALPHA 
        (UK)","B.1.351 
        BETA 
        (South Africa)","B.1.617.2 
        DELTA 
        (India)","B.1.427 
        EPSILON 
        (California)","B.1.429 
        EPSILON 
        (California)","P.1 
        GAMMA 
        (Brazil)",Date
A,2,0,0,0,1,0,2021-06-28
B,7,1,2,0,2,0,2021-06-28
D,4,0,0,0,0,0,2021-06-28
E,419,10,6,5,16,14,2021-06-28
F,2,0,0,0,0,0,2021-06-28
G,10,0,0,0,1,0,2021-06-28
H,11,0,0,0,0,0,2021-06-28
I,53,0,0,8,10,1,2021-06-28
J,15,0,0,0,2,0,2021-06-28
K,1,0,0,0,0,0,2021-06-28
L,95,0,0,2,0,0,2021-06-28
M,33,0,0,0,4,0,2021-06-28
N,56,0,0,1,1,1,2021-06-28
O,209,1,0,2,7,3,2021-06-28
P,158,1,1,0,3,6,2021-06-28
Q,936,3,7,7,9,29,2021-06-28
R,378,1,7,0,4,14,2021-06-28
S,4,0,0,0,0,0,2021-06-28
T,2,0,0,0,0,0,2021-06-28
U,47,0,0,0,1,0,2021-06-28
V,43,0,0,0,2,10,2021-06-28
Pending patient info from lab,"1,120",3,2,15,122,50,2021-06-28
