TSA,"B.1.1.7 
        ALPHA","B.1.351 
        BETA","B.1.617.2 
        DELTA","P.1 
        GAMMA",Date
A,2,0,0,0,2021-08-14
B,7,1,2,0,2021-08-14
D,4,0,0,0,2021-08-14
E,416,9,7,0,2021-08-14
F,2,0,0,0,2021-08-14
G,10,0,0,0,2021-08-14
H,10,0,0,0,2021-08-14
I,52,0,0,0,2021-08-14
J,13,0,1,0,2021-08-14
K,1,0,0,0,2021-08-14
L,94,0,0,0,2021-08-14
M,33,0,0,0,2021-08-14
N,56,0,0,0,2021-08-14
O,211,1,0,1,2021-08-14
P,156,1,3,0,2021-08-14
Q,939,4,6,1,2021-08-14
R,379,1,5,0,2021-08-14
S,3,0,0,0,2021-08-14
T,2,0,0,0,2021-08-14
U,47,0,0,1,2021-08-14
V,42,0,1,0,2021-08-14
Pending patient info from lab,"4,696",8,"3,210",1,2021-08-14
