TSA,"B.1.1.7 
        ALPHA","B.1.351 
        BETA","B.1.617.2 
        DELTA","P.1 
        GAMMA",Date
A,2,0,0,0,2021-08-21
B,7,1,2,0,2021-08-21
D,4,0,0,0,2021-08-21
E,416,9,7,15,2021-08-21
F,2,0,0,0,2021-08-21
G,10,0,0,0,2021-08-21
H,10,0,0,1,2021-08-21
I,52,0,0,1,2021-08-21
J,13,0,1,1,2021-08-21
K,1,0,0,0,2021-08-21
L,94,0,0,1,2021-08-21
M,33,0,0,0,2021-08-21
N,56,0,0,1,2021-08-21
O,211,1,0,4,2021-08-21
P,156,1,3,5,2021-08-21
Q,939,4,6,24,2021-08-21
R,379,1,5,14,2021-08-21
S,3,0,0,0,2021-08-21
T,2,0,0,0,2021-08-21
U,47,0,0,0,2021-08-21
V,42,0,1,10,2021-08-21
Pending patient info from lab,"4,750",8,"4,603",301,2021-08-21
