TSA,"B.1.1.7                                                                     
                        ALPHA","B.1.351                                                                     
                        BETA","B.1.617.2                                                                     
                        DELTA","P.1                                                                     
                        GAMMA",Date
A,2,0,0,0,2021-07-15
B,7,1,2,0,2021-07-15
D,4,0,0,0,2021-07-15
E,420,9,7,15,2021-07-15
F,2,0,0,0,2021-07-15
G,10,0,0,0,2021-07-15
H,11,0,0,0,2021-07-15
I,55,0,0,1,2021-07-15
J,15,0,0,0,2021-07-15
K,1,0,0,0,2021-07-15
L,95,0,0,0,2021-07-15
M,32,0,0,0,2021-07-15
N,56,0,0,1,2021-07-15
O,210,1,0,3,2021-07-15
P,156,1,2,4,2021-07-15
Q,937,4,7,26,2021-07-15
R,377,1,7,15,2021-07-15
S,4,0,0,0,2021-07-15
T,2,0,0,0,2021-07-15
U,47,0,0,0,2021-07-15
V,43,0,0,10,2021-07-15
Pending patient info from lab,"4,496",6,377,247,2021-07-15
