TSA,"B.1.1.7 
        ALPHA","B.1.351 
        BETA","B.1.617.2 
        DELTA","P.1 
        GAMMA",Date
A,2,0,0,0,2021-09-12
B,7,1,2,0,2021-09-12
D,4,0,0,0,2021-09-12
E,416,9,7,15,2021-09-12
F,2,0,0,0,2021-09-12
G,10,0,0,0,2021-09-12
H,10,0,0,1,2021-09-12
I,52,0,0,1,2021-09-12
J,13,0,1,1,2021-09-12
K,1,0,0,0,2021-09-12
L,94,0,0,1,2021-09-12
M,33,0,0,0,2021-09-12
N,56,0,0,1,2021-09-12
O,211,1,0,4,2021-09-12
P,156,1,3,5,2021-09-12
Q,938,4,6,24,2021-09-12
R,380,1,5,14,2021-09-12
S,3,0,0,0,2021-09-12
T,2,0,0,0,2021-09-12
U,47,0,0,0,2021-09-12
V,42,0,1,10,2021-09-12
Pending patient info from lab,"4,795",8,"6,556",323,2021-09-12
