TSA,"B.1.1.7 
                        ALPHA","B.1.351 
                        BETA","B.1.617.2 
                        DELTA","P.1 
                        GAMMA",Date
A,2,0,0,0,2021-08-28
B,7,1,2,0,2021-08-28
D,4,0,0,0,2021-08-28
E,416,9,7,15,2021-08-28
F,2,0,0,0,2021-08-28
G,10,0,0,0,2021-08-28
H,10,0,0,1,2021-08-28
I,52,0,0,1,2021-08-28
J,13,0,1,1,2021-08-28
K,1,0,0,0,2021-08-28
L,94,0,0,1,2021-08-28
M,33,0,0,0,2021-08-28
N,56,0,0,1,2021-08-28
O,211,1,0,4,2021-08-28
P,156,1,3,5,2021-08-28
Q,939,4,6,24,2021-08-28
R,379,1,5,14,2021-08-28
S,3,0,0,0,2021-08-28
T,2,0,0,0,2021-08-28
U,47,0,0,0,2021-08-28
V,42,0,1,10,2021-08-28
Pending patient info from lab,"4,778",8,"5,840",312,2021-08-28
