TSA,"B.1.1.7 
                        ALPHA","B.1.351 
                        BETA","B.1.617.2 
                        DELTA","P.1 
                        GAMMA",Date
A,2,0,0,0,2021-08-02
B,7,1,2,0,2021-08-02
D,4,0,0,0,2021-08-02
E,420,9,7,15,2021-08-02
F,2,0,0,0,2021-08-02
G,10,0,3,0,2021-08-02
H,11,0,0,0,2021-08-02
I,55,0,0,1,2021-08-02
J,15,0,0,0,2021-08-02
K,1,0,0,0,2021-08-02
L,95,0,0,0,2021-08-02
M,32,0,0,0,2021-08-02
N,56,0,0,1,2021-08-02
O,210,1,0,3,2021-08-02
P,156,1,2,4,2021-08-02
Q,936,4,7,26,2021-08-02
R,377,1,7,15,2021-08-02
S,4,0,0,0,2021-08-02
T,2,0,0,0,2021-08-02
U,47,0,0,0,2021-08-02
V,43,0,0,10,2021-08-02
Pending patient info from lab,"4,596",8,940,267,2021-08-02
