TSA,"B.1.1.7 
        ALPHA","B.1.351 
        BETA","B.1.617.2 
        DELTA","P.1 
        GAMMA",Date
A,2,0,0,0,2021-07-24
B,7,1,2,0,2021-07-24
D,4,0,0,0,2021-07-24
E,420,9,7,15,2021-07-24
F,2,0,0,0,2021-07-24
G,10,0,0,0,2021-07-24
H,11,0,0,0,2021-07-24
I,55,0,0,1,2021-07-24
J,15,0,0,0,2021-07-24
K,1,0,0,0,2021-07-24
L,95,0,0,0,2021-07-24
M,32,0,0,0,2021-07-24
N,56,0,0,1,2021-07-24
O,210,1,0,3,2021-07-24
P,156,1,2,4,2021-07-24
Q,937,4,7,26,2021-07-24
R,377,1,7,15,2021-07-24
S,4,0,0,0,2021-07-24
T,2,0,0,0,2021-07-24
U,47,0,0,0,2021-07-24
V,43,0,0,10,2021-07-24
Pending patient info from lab,"4,541",7,562,252,2021-07-24
