TSA,"B.1.1.7                                   
                        ALPHA","B.1.351                                   
                        BETA","B.1.617.2                                   
                        DELTA","P.1                                   
                        GAMMA",Date
A,2,0,0,0,2021-08-07
B,7,1,2,0,2021-08-07
D,4,0,0,0,2021-08-07
E,416,9,7,15,2021-08-07
F,2,0,0,0,2021-08-07
G,10,0,0,0,2021-08-07
H,10,0,0,1,2021-08-07
I,52,0,0,1,2021-08-07
J,13,0,1,1,2021-08-07
K,1,0,0,0,2021-08-07
L,94,0,0,1,2021-08-07
M,33,0,0,0,2021-08-07
N,56,0,0,1,2021-08-07
O,211,1,0,4,2021-08-07
P,156,1,3,5,2021-08-07
Q,939,4,6,24,2021-08-07
R,379,1,5,14,2021-08-07
S,3,0,0,0,2021-08-07
T,2,0,0,0,2021-08-07
U,47,0,0,0,2021-08-07
V,42,0,1,10,2021-08-07
Pending patient info from lab,"4,657",8,"1,698",280,2021-08-07
