NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
Walgreens Pharmacy 05792,Pharmacy,,,,,"102 N TIMBERLAND DR Lufkin, TX 75901",,04/15/2021      ,19:59:38        ,624,0,624,0,145,769,624,(936) 699-2916,https://www.walgreens.com/locator/walgreens-102+n+timberland+dr-lufkin-tx-75901/id=5792
Walgreens Pharmacy 06750,Pharmacy,,,,,"18535 CHAMPION FOREST DR Spring, TX 77379",,04/17/2021      ,11:10:11        ,23,0,0,0,60,83,0,(281) 370-4961,https://www.walgreens.com/locator/walgreens-18535+champion+forest+dr-spring-tx-77379/id=6750
Walgreens Pharmacy 03570,Pharmacy,,,,,"890 N RESLER DR El Paso, TX 79912",,04/17/2021      ,09:30:26        ,223,0,2,0,0,223,2,(915) 584-1359,https://www.walgreens.com/locator/walgreens-890+n+resler+dr-el+paso-tx-79912/id=3570
James Haden Md,Medical Practice,,1000 College Ave,Fort Worth,Tarrant,1000 College Ave,76104,04/13/2021      ,14:23:33        ,0,90,0,40,0,90,40,(817) 336-8855,http://www.allergyfortworth.com/
Irving Regional Dialysis Center,Medical Practice,,2535 W Airport Freeway,Irving,Dallas,2535 W Airport Freeway,75062,04/14/2021      ,12:59:15        ,24,0,0,20,0,24,20,(972) 252-1656,http://www.americanrenaldallas.com/
Internal Medicine Associates Of Plano,Medical Practice,,6124 W Parker Rd Ste 234,Plano,Collin,6124 W Parker Rd Ste 234,75093,03/25/2021      ,08:22:55        ,0,600,0,10,0,600,10,(972) 468-9999,http://www.planointernist.com/
Walgreens Pharmacy 06715,Pharmacy,,W UNIVERSITY BLVD, Odessa,odessa,"1305 W UNIVERSITY BLVD Odessa, TX 79764",79764,04/17/2021      ,08:03:18        ,30,0,30,0,0,30,30,(432) 580-0166,https://www.walgreens.com/locator/walgreens-1305+w+university+blvd-odessa-tx-79764/id=6715
Medly Pharmacy,Federal Allocation,,,San Antonio,Bexar,13331 Nacogdoches Rd,78217,04/17/2021      ,09:56:08        ,0,0,0,0,100,100,0,,
EVERETTS PHARMACY,Federal Allocation,,,SAN SABA,,401 W WALLACE ST , 76877,04/17/2021      ,09:17:33        ,0,0,0,0,25,25,0,(325) 372-3033,RXEVERETTE@GMAIL.COM
Walgreens Pharmacy 03825,Pharmacy,,,North Richland Hills,,7151 GRAPEVINE HWY,76180,04/13/2021      ,08:40:39        ,0,0,0,0,65,65,0,(817) 514-9474,https://www.walgreens.com/locator/walgreens-7151+grapevine+hwy-north+richland+hills-tx-76180/id=3825
BRUCES PHARMACY,Pharmacy,,6001 39th St,Groves,Jefferson,6001 39th Street,77619,04/17/2021      ,06:05:49        ,0,54,0,0,0,54,0,(409) 962-4431,
Brookshires Pharmacy 93,Pharmacy,,400 W Central Ave,Comanche,Comanche,400 W Central Ave,76442,04/16/2021      ,16:49:32        ,0,70,0,0,0,70,0,(325) 356-5276,https://www.brookshires.com/covid-19-information
Brookshires Pharmacy 32,Pharmacy,,880 E State Highway 243,Canton,Van Zandt,880 E State Highway 243,75103,04/16/2021      ,17:41:05        ,0,100,0,0,290,390,0,(903) 567-2403,https://www.brookshires.com/covid-19-information
Super 1 Pharmacy 630,Pharmacy,,100 N 15th St,Corsicana,Navarro,100 N 15th St,75110,04/16/2021      ,14:43:49        ,0,80,0,0,0,80,0,(903) 874-2152,https://www.brookshires.com/covid-19-information
Brookshires Pharmacy 77,Pharmacy,,800 N Main St Ste A,Corsicana,Navarro,800 N Main St Ste A,75110,04/16/2021      ,17:19:44        ,0,100,0,0,195,295,0,(903) 874-1111,https://www.brookshires.com/covid-19-information
Brookshires Pharmacy 14,Pharmacy,,925 Clarksville St,Paris,Lamar,925 Clarksville St,75460,04/17/2021      ,10:17:02        ,0,85,0,0,60,145,0,(903) 785-3297,https://www.brookshires.com/covid-19-information
Brookshires Pharmacy 90,Pharmacy,,100 Peplow Dr,Robinson,McLennan,100 Peplow Dr,76706,04/16/2021      ,08:43:38        ,0,100,0,0,0,100,0,(254) 662-6403,https://www.brookshires.com/covid-19-information
Walgreens Pharmacy 09180,Pharmacy,,,,,"11103 W MILITARY DR San Antonio, TX 78251",,04/12/2021      ,21:17:18        ,0,0,0,0,60,60,0,(210) 679-5267,https://www.walgreens.com/locator/walgreens-11103+w+military+dr-san+antonio-tx-78251/id=9180
Walgreens Pharmacy 05390,Pharmacy,,, Houston ,,8300 Wilcrest Dr,77072,04/16/2021      ,21:26:13        ,24,0,0,0,60,84,0,,
Walgreens Pharmacy 07963,Pharmacy,,,,,"2906 HOUSTON HWY Victoria, TX 77901",,04/16/2021      ,19:22:31        ,1542,100,0,0,70,1712,0,(361) 576-5458,https://www.walgreens.com/locator/walgreens-2906+houston+hwy-victoria-tx-77901/id=7963
Walgreens Pharmacy 03224,Pharmacy,,,,,"6901 SAN PEDRO AVE San Antonio, TX 78216",,04/16/2021      ,18:51:04        ,78,0,0,0,140,218,0,(210) 349-9809,https://www.walgreens.com/locator/walgreens-6901+san+pedro+ave-san+antonio-tx-78216/id=3224
Walgreens Pharmacy 07964,Pharmacy,,,,,"5204 N NAVARRO ST Victoria, TX 77904",,04/16/2021      ,18:18:50        ,38,50,20,50,90,178,70,(361) 576-5238,https://www.walgreens.com/locator/walgreens-5204+n+navarro+st-victoria-tx-77904/id=7964
Walgreens Pharmacy 15638,Pharmacy,,,,,"26288 KUYKENDAHL RD Tomball, TX 77375",,04/16/2021      ,18:12:27        ,48,0,0,0,0,48,0,(281) 378-2995,https://www.walgreens.com/locator/walgreens-26288+kuykendahl+rd-tomball-tx-77375/id=15638
"Conviva Care Solutions, Inc.",Medical Practice,,711 Navarro Street,San Antonio,Bexar,711 NAVARRO ST STE 600 SAN ANTONIO 78205,78205,04/16/2021      ,16:20:41        ,0,40,0,0,0,40,0,,
Conviva Cliffside,Other,,1211b Cliff Drive,El Paso,El Paso,1211b Cliff Drive,79902,04/16/2021      ,16:18:35        ,0,0,0,0,20,20,0,,
Walgreens Pharmacy 07251,Pharmacy,,, Houston ,,11038 Westheimer Rd,77042,04/16/2021      ,17:13:21        ,0,100,0,0,70,170,0,,
"Dr. Mario Sanchez, DO",Other,V,106 N Main St,La Feria,Cameron,"106 N Main St, La Feria, TX 78559",78559,04/16/2021      ,17:11:26        ,0,10,0,0,0,10,0,956-797-2002,
El Paso Pulmonary Association West,Medical Practice,,4305 N Mesa St,El Paso,El Paso,4305 N Mesa St Ste A,79902,04/16/2021      ,16:08:42        ,0,0,0,0,25,25,0,(915) 532-2477,http://www.elpasopulmonary.com/
Walgreens Pharmacy 03505,Pharmacy,,,San Antonio,,6635 BANDERA RD,78238,04/16/2021      ,16:43:06        ,54,0,0,0,60,114,0,(210) 681-8540,https://www.walgreens.com/locator/walgreens-6635+bandera+rd-san+antonio-tx-78238/id=3505
CHRISTUS ST. MICHAEL HOSPITAL,Vaccine Hub,F,2600 Saint Michael Dr,Texarkana,Bowie,2600 Saint Michael Dr,75503,04/16/2021      ,11:37:40        ,0,800,400,80,2150,2950,480,(903) 614-1000,https://www.christushealth.org/St-Michael?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTUzNzY1OTMtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl
Imperical Care Internal Med,Other,,600 E Taylor,Sherman,Grayson,600 E Taylor,75090,04/14/2021      ,14:16:24        ,0,10,0,0,0,10,0,,
Gulf Coast Health Center Inc.,Other,,,Port Arthur,Jefferson,2548 Memorial Blvd,77640,04/16/2021      ,17:25:54        ,0,30,0,0,500,530,0,(409) 983-1161,
Zarzamora Healthcare LLC,Community Clinic,,2716 Sw Military Dr,San Antonio,Bexar,2716 SW MILITARY DR STE 102 San Antonio 78224,78224,04/16/2021      ,13:49:37        ,0,60,0,0,0,60,0,,
Red River Pharmacy Long Term Care,Pharmacy,F,1550 Moores Lane,TEXARKANA,BOWIE,"1550 Moores Lane, Suite A",75503,04/14/2021      ,11:59:25        ,0,60,0,370,0,60,370,,
University Health System - San Antonio UHSSA,Vaccine Hub,P,4522 Fredericksburg Rd,San Antonio,Bexar,4522 Fredericksburg Rd,78201,04/17/2021      ,08:59:23        ,0,0,0,0,0,0,0,210-644-1960,https://www.universityhealthsystem.com/coronavirus-covid19/vaccine?utm_source=corpcomm&utm_medium=web&utm_campaign=wecandoitsa_typed&utm_content=typed_URL
Phillips 66 Health Services Borger,Other,,Spur 119 North,Borger,Hutchinson,"State Highway 119 Spur, Borger, TX, USA",79008,04/16/2021      ,17:20:47        ,0,180,0,0,0,180,0,,
Phillips 66 Health Services Old Ocean,Other,,8189 Old FM 524,Old Ocean,Brazoria,8189 Old FM 524,77463,04/09/2021      ,17:33:22        ,0,240,0,0,0,240,0,,
Montana Vista Community Partnership,Other,,14900 GREG DRIVE STE B ,EL PASO,EL PASO,14900 GREG DRIVE STE B EL PASO 79938,79938,04/06/2021      ,14:35:21        ,0,200,0,200,0,200,200,915-533-7057,
Randol Mill LTC Pharmacy,Federal Allocation,,1014 N Fielder Rd Suite 110,Arlington,Tarrant,"1014 North Fielder Road, Arlington, TX, USA",76012,04/16/2021      ,07:37:04        ,0,170,0,0,0,170,0,,
Tejas Healthcare Clinic,Other,,890 E Travis St,La Grange,Fayette,890 E Travis St,78945,04/16/2021      ,15:57:49        ,0,66,0,1,0,66,1,(979) 968-2000,
The Friendly Pharmacy ,Federal Allocation,,3302 Boca Chica Blvd STE 107,Brownsville,Cameron,"3302 Boca Chica Blvd STE 107, Brownsville, TX 78521",78521,04/16/2021      ,15:04:26        ,0,105,0,0,105,210,0,(956) 544-1200,https://www.unitedfriendlypharmacy.com/
Hope Community Medicine - San Augustine,Community Clinic,,109 E Main St,San Augustine,San Augustine,"109 E Main St, San Augustine, Texas 75972",75972,04/16/2021      ,15:05:47        ,0,199,0,0,0,199,0,(936) 275-4420,http://www.hcmtx.org/
Umc Internal Medicine,Medical Practice,,808 Joliet Ave,Lubbock,Lubbock,808 Joliet Ave,79415,04/17/2021      ,06:00:34        ,0,190,0,0,0,190,0,(806) 761-0566,https://www.umchealthsystem.com/medical-services/umc-clinics/details/umc-internal-medicine
DSHS - Gainesville,Other,,1714 Justice Center Blvd Ste A,Gainesville,Cooke,1714 Justice Center Blvd Ste A,76240,04/16/2021      ,15:19:36        ,0,30,0,20,0,30,20,,
Pharr- San Juan- Alamo ISD,Other,,,San Juan,,704 W Ridge Rd,78589,04/16/2021      ,08:14:08        ,0,9970,0,0,0,9970,0,(956)354-2016,
Presbyterian Pan American,Other,,223 N Fm 772,Kingsville,Kleberg,223 N FM 772 KINGSVILLE 78363,78363,04/13/2021      ,16:51:14        ,0,50,0,0,0,50,0,,
Austin Regional Clinic Far West,Medical Practice,,6835 Austin Center Blvd,Austin,Travis,6835 Austin Center Blvd,78731,04/16/2021      ,08:44:00        ,2000,0,0,0,0,2000,0,(512) 346-6611,https://www.austinregionalclinic.com/clinics/arc-far-west?utm_source=online-directory&utm_campaign=yext&utm_content=location-fw
Arlington Fire Department,Vaccine Hub,,620 W Division St,Arlington,Tarrant,620 W Division St,76011,04/16/2021      ,10:46:40        ,0,7000,1363,7880,45997,52997,9243,817-248-6299 Option 7,www.tarrantcounty.com/COVIDshot
Dr Andres Garcia Zuniga MD PA,Medical Practice,,,Laredo,, 6416 Polaris Drive,78041,04/10/2021      ,10:26:11        ,0,233,0,0,0,233,0,(956) 568-5140,
Archer City RHC/Archer Family Clinic,Other,,404 East Chestnut,Archer City,Archer,"404 E Chestnut St, Archer City, TX 76351",76351,04/14/2021      ,09:20:45        ,0,50,0,0,0,50,0,940-574-2580,https://olneyhamiltonhospital.com/services/archer-family-clinic/
Uthealth Tyler Hospital,Hospital,,1000 S BECKHAM AVE,Tyler,,1000 S BECKHAM AVE,75701,04/13/2021      ,12:14:16        ,0,0,0,102,0,0,102,,
North East ISD,Other,,,San Antonio,,10333 BROADWAY ST,78217,04/16/2021      ,16:52:46        ,0,207,0,0,0,207,0,,
