NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
Walgreens Pharmacy 04839,Pharmacy,,,Katy ,,2010 S Fry Rd ,77450,04/14/2021      ,21:11:15        ,0,0,0,0,60,60,0,,
Walgreens Pharmacy 05792,Pharmacy,,,,,"102 N TIMBERLAND DR Lufkin, TX 75901",,04/14/2021      ,20:32:55        ,314,0,313,0,145,459,313,(936) 699-2916,https://www.walgreens.com/locator/walgreens-102+n+timberland+dr-lufkin-tx-75901/id=5792
Walgreens Pharmacy 07964,Pharmacy,,,,,"5204 N NAVARRO ST Victoria, TX 77904",,04/14/2021      ,19:44:02        ,50,0,20,0,90,140,20,(361) 576-5238,https://www.walgreens.com/locator/walgreens-5204+n+navarro+st-victoria-tx-77904/id=7964
Walgreens Pharmacy 07963,Pharmacy,,,,,"2906 HOUSTON HWY Victoria, TX 77901",,04/14/2021      ,18:40:28        ,1542,0,0,0,70,1612,0,(361) 576-5458,https://www.walgreens.com/locator/walgreens-2906+houston+hwy-victoria-tx-77901/id=7963
AHF Pharmacy,Federal Allocation,,,Houston,Harris,1435 Westheimer Rd,77006,04/14/2021      ,18:12:56        ,0,0,0,0,100,100,0,,
Walgreens Pharmacy 07491,Pharmacy,,,,,"6802 S FRY RD Katy, TX 77494",,04/14/2021      ,17:41:58        ,468,0,0,0,100,568,0,(281) 392-0077,https://www.walgreens.com/locator/walgreens-6802+s+fry+rd-katy-tx-77494/id=7491
Hope Clinic Aldine,Federal Allocation,,"3000 Aldine Mail Route Rd, 200",Houston,Harris,"3000 Aldine Mail Route Rd, 200",77039,04/14/2021      ,16:35:53        ,0,100,0,100,0,100,100,713-773-0803,
City of South Houston EMS,Other,,506 Georgia Avenue,South Houston,Harris,506 GEORGIA ST,77587,04/13/2021      ,17:16:08        ,0,195,0,0,0,195,0,,
Family Circle of Care-Jacksonville,Community Clinic,,510 E Commerce St,Jacksonville,Cherokee,510 East Commerce St,75766,04/13/2021      ,17:00:16        ,0,100,0,0,35,135,0,(903) 535-9041,
Tyler Care Clinic,Other,,Troup Hwy,Tyler,Smith,4519 Troup Hwy,75703,04/13/2021      ,10:17:00        ,0,200,0,0,0,200,0,,
"Dr. Mario Sanchez, DO",Other,V,106 N Main St,La Feria,Cameron,"106 N Main St, La Feria, TX 78559",78559,04/14/2021      ,17:06:57        ,0,110,0,0,0,110,0,956-797-2002,
Kroger Pharmacy 537,Pharmacy,,2061 Rufe Snow Dr,Keller,Tarrant,2061 Rufe Snow Dr,76248,04/12/2021      ,08:30:00        ,24,0,0,0,100,124,0,(817) 605-8728,http://www.kroger.com/stores/details/026/00537?cid=loc_02600537PP_gmb
Wellness Pointe-Kilgore 040545,Community Clinic,,,Kilgore,,1711 S Henderson Blvd Ste 400,75662,04/09/2021      ,06:02:32        ,0,90,0,0,0,90,0,(903) 212-2610,covidkilgore@wellnesspointe.org
SPLENDORA PHARMACY,Federal Allocation,,13841 Hwy 59 Ste C,Splendora,Montgomery,13841 HIGHWAY 59 STE C Splendora 77372,77372,04/14/2021      ,17:34:38        ,0,60,0,0,0,60,0,,
Texas Oncology Arlington South,Other,,515 W Mayfield Rd,Arlington,Tarrant,"515 West Mayfield Road, Arlington, TX, USA",76014,04/14/2021      ,19:20:29        ,0,50,0,0,0,50,0,,
La Porte RapidCare ER LLC,Other,,,La Porte ,,1220 W FAIRMONT PKWY ,77571,04/06/2021      ,09:00:26        ,0,90,0,0,0,90,0,,
Dept of Public Health - Laredo,Vaccine Hub,T,2600 Cedar,Laredo,Webb,2600 Cedar,78040,04/14/2021      ,09:35:19        ,0,2100,0,3350,0,2100,3350,956-795-4920,https://vaccinatelaredo.timetap.com/#/
Exxonmobil Medical Clinic,Community Clinic,,2250 Grove Street,Beaumont,Jefferson ,2250 Grove Street,77701,04/14/2021      ,16:10:56        ,0,0,0,0,200,200,0,,
Family Healthcare Associates Richardson,Other,,,Richardson,,2821 E PRESIDENT GEORGE BUSH HWY Richardson 75082,75082,04/14/2021      ,10:47:29        ,0,100,0,100,0,100,100,,
City of Dallas (The Potters House) ,Vaccine Hub,,650 S Griffin Street,Dallas,Dallas,650 S Griffin Street,75202,04/14/2021      ,17:15:39        ,0,0,0,0,0,0,0,214-670-3111,https://dallascityhall.com/Pages/Coronavirus-Vaccine-Information.aspx
Discovery Medical Network LLC,Other,,,Sweetwater,Nolan,301 Jenny George Lane,79556,04/14/2021      ,16:03:35        ,0,70,0,0,0,70,0,,
Zikam Drive Thru Pharmacy,Federal Allocation,,,Schertz,,17323 Ih 35n,78154,04/12/2021      ,18:30:37        ,0,0,0,0,361,361,0,,
Knapp/UTRGV Family Health Center,Vaccine Hub,,2810 W Expressway 83,Mercedes,Hidalgo,2810 W Expressway 83,78570,03/24/2021      ,19:57:39        ,0,0,0,0,0,0,0,(956) 296-1831,https://uthealthrgv.org/locations/uthealthrgv-knapp-family-health-center/
