Date,file_path,County,TPR,Tests,Transmission_Level,Community_Level
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Anderson,0.359,313,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Andrews,0.235,32,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Angelina,0.127,374,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Aransas,0.064,197,Moderate,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Archer,0.214,96,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Armstrong,0,14,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Atascosa,0.149,718,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Austin,0.161,396,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Bailey,0.077,23,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Bandera,0.102,217,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Bastrop,0.152,981,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Baylor,0,24,Substantial,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Bee,0.064,296,Moderate,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Bell,0.123,3966,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Bexar,0.13,66164,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Blanco,0.137,200,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Borden,0.333,4,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Bosque,0.175,143,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Bowie,0.13,527,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Brazoria,0.274,8796,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Brazos,0.164,4727,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Brewster,0,21,Moderate,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Briscoe,0,13,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Brooks,0.13,23,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Brown,0.169,99,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Burleson,0.113,274,High,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Burnet,0.085,564,Substantial,
2021-12-20,original-sources/historical/cpr_orig//cpr_2021-12-27.xlsx,Caldwell,0.148,932,High,
