Date,file_path,County,TPR,Tests,Transmission_Level,Community_Level
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Anderson,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Andrews,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Angelina,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Aransas,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Archer,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Armstrong,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Atascosa,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Austin,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Bailey,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Bandera,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Bastrop,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Baylor,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Bee,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Bell,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Bexar,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Blanco,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Borden,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Bosque,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Bowie,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Brazoria,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Brazos,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Brewster,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Briscoe,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Brooks,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Brown,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Burleson,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Burnet,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Caldwell,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Calhoun,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Callahan,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Cameron,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Camp,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Carson,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Cass,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Castro,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Chambers,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Cherokee,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Childress,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Clay,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Cochran,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Coke,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Coleman,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Collin,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Collingsworth,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Colorado,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Comal,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Comanche,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Concho,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Cooke,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Coryell,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Cottle,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Crane,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Crockett,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Crosby,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Culberson,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Dallam,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Dallas,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Dawson,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,DeWitt,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Deaf Smith,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Delta,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Denton,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Dickens,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Dimmit,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Donley,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Duval,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Eastland,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Ector,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Edwards,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,El Paso,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Ellis,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Erath,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Falls,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Fannin,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Fayette,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Fisher,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Floyd,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Foard,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Fort Bend,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Franklin,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Freestone,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Frio,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Gaines,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Galveston,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Garza,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Gillespie,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Glasscock,0,,Low,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Goliad,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Gonzales,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Gray,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Grayson,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Gregg,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Grimes,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Guadalupe,0,,Substantial,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Hale,0,,Moderate,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Hall,0,,High,
2021-05-20,original-sources/historical/cpr_orig//cpr_2021-05-27.xlsx,Hamilton,0,,Moderate,
