TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1009,262,10,124,110
B,1408,266,10,208,191
C,1192,270,3,105,58
D,865,226,1,82,108
E,15491,1317,87,2111,2355
F,1160,428,13,115,159
G,2672,606,16,211,438
H,480,67,0,91,94
I,2038,337,33,263,87
J,1667,570,21,246,158
K,881,356,12,91,50
L,1107,93,5,89,225
M,625,113,3,75,128
N,558,57,4,69,119
O,4439,463,2,299,637
P,6400,551,50,675,1141
Q,13903,1354,27,1240,2437
R,1698,166,6,231,410
S,579,99,1,49,132
T,401,6,0,69,85
U,1423,198,0,166,363
V,2832,478,25,345,556
