"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",304,11,150,27,571
"BRAC",365,20,239,26,1054
"North Texas RAC",307,13,133,5,817
"Big Country RAC",231,3,101,7,568
"North Central Texas RAC",1943,234,2259,540,12803
"Northeast Texas RAC",415,37,98,18,547
"Piney Woods RAC",797,34,306,75,1847
"Deep East Texas RAC",124,15,126,39,372
"Far West Texas & Southern New Mexico RAC",329,49,290,167,1510
"Texas ""J"" RAC",665,37,270,49,796
"Concho Valley RAC",328,17,126,4,344
"Central Texas RAC",144,16,126,44,839
"Central Texas RAC",119,12,75,20,448
"Brazos Valley RAC",82,3,85,37,382
"Capital Area Trauma RAC",579,45,346,163,3339
"Southwest Texas RAC",729,93,840,257,4836
"Southeast Texas Trauma RAC",1616,157,1464,963,12085
"East Texas Gulf Coast RAC",308,20,276,119,1441
"Golden Crescent RAC",285,21,70,38,282
"Seven Flags RAC",61,6,95,25,354
"Coastal Bend RAC",626,23,190,66,969
"Lower Rio Grande Valley RAC",874,70,454,198,2182
