TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1065,229,16,115,161
B,1457,271,6,165,186
C,1224,289,8,91,96
D,960,238,1,69,100
E,16615,1302,72,1848,2388
F,836,135,5,78,135
G,2794,565,19,249,510
H,615,135,6,84,113
I,2046,202,2,291,108
J,1684,540,14,289,182
K,851,318,11,136,49
L,1125,100,12,148,165
M,636,59,0,72,145
N,608,47,0,75,94
O,4385,653,35,425,369
P,6779,710,79,748,708
Q,14872,1523,71,1323,1820
R,1711,216,5,253,254
S,606,182,7,58,99
T,456,26,8,81,23
U,1292,69,0,170,248
V,2840,577,28,350,265
