TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,950,277,8,149,22
B,1539,324,19,255,26
C,1180,243,4,103,5
D,933,240,12,103,12
E,16104,1699,194,2127,341
F,1023,399,43,85,39
G,2856,700,44,265,64
H,520,122,7,105,13
I,2089,313,42,243,47
J,1732,636,27,274,11
K,873,336,22,102,4
L,1100,117,11,99,32
M,666,125,13,73,10
N,556,61,3,64,38
O,4434,593,58,370,90
P,6354,680,91,803,144
Q,14613,1633,117,1497,448
R,1840,240,20,255,53
S,600,205,20,60,22
T,339,38,0,70,12
U,1697,550,33,189,36
V,3128,676,51,441,114
