TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,940,239,5,146,28
B,1473,300,9,230,56
C,1222,298,7,101,28
D,880,223,2,80,21
E,15647,1635,158,2092,896
F,1034,372,36,64,66
G,2854,753,34,216,132
H,443,109,11,89,14
I,1952,317,37,260,54
J,1779,682,23,252,54
K,871,368,16,96,12
L,1088,104,13,105,78
M,607,132,10,62,29
N,568,72,1,76,50
O,4480,614,51,355,237
P,6298,772,98,785,335
Q,14356,1686,81,1542,760
R,1824,225,10,263,143
S,562,171,15,49,43
T,429,34,3,78,27
U,1669,595,49,199,81
V,3058,739,51,381,175
