"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",296,30,128,48,652
"BRAC",385,19,236,64,1058
"North Texas RAC",494,10,139,23,857
"Big Country RAC",257,3,117,35,637
"North Central Texas RAC",1782,187,2019,1163,13697
"Northeast Texas RAC",401,34,92,44,569
"Piney Woods RAC",725,22,359,171,2083
"Deep East Texas RAC",126,10,107,53,420
"Far West Texas & Southern New Mexico RAC",324,48,308,284,1632
"Texas ""J"" RAC",556,37,275,53,919
"Concho Valley RAC",301,18,155,14,345
"Central Texas RAC",126,11,95,70,947
"Central Texas RAC",131,10,69,40,464
"Brazos Valley RAC",90,8,79,42,421
"Capital Area Trauma RAC",655,59,350,253,3586
"Southwest Texas RAC",912,126,817,448,5071
"Southeast Texas Trauma RAC",1540,143,1347,1450,12660
"East Texas Gulf Coast RAC",331,13,303,202,1493
"Golden Crescent RAC",272,19,60,46,273
"Seven Flags RAC",119,19,90,33,322
"Coastal Bend RAC",577,30,183,100,1123
"Lower Rio Grande Valley RAC",985,180,437,285,2232
