TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,992,260,16,154,24
B,1564,342,16,233,55
C,1252,300,7,102,13
D,897,232,5,102,11
E,16189,1742,204,2160,436
F,1058,364,43,94,21
G,2867,694,43,257,80
H,580,112,19,133,22
I,2123,352,45,264,82
J,1662,651,19,295,34
K,874,369,22,108,14
L,1129,102,5,107,43
M,610,135,6,66,14
N,594,58,3,58,25
O,4348,595,37,362,115
P,6449,793,81,782,170
Q,14675,1842,155,1483,608
R,1806,281,20,276,58
S,631,221,16,56,48
T,451,46,4,88,13
U,1811,710,41,207,50
V,3036,720,55,443,145
