"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",288,17,150,31,562
"BRAC",325,23,231,32,1098
"North Texas RAC",281,10,97,8,876
"Big Country RAC",257,8,106,23,555
"North Central Texas RAC",1771,231,2244,444,13210
"Northeast Texas RAC",369,42,94,32,554
"Piney Woods RAC",753,41,255,108,1970
"Deep East Texas RAC",160,16,119,23,372
"Far West Texas & Southern New Mexico RAC",371,36,268,151,1519
"Texas ""J"" RAC",624,26,264,39,868
"Concho Valley RAC",346,18,112,3,320
"Central Texas RAC",113,14,112,35,937
"Central Texas RAC",137,10,74,22,446
"Brazos Valley RAC",91,4,72,34,380
"Capital Area Trauma RAC",542,37,340,160,3576
"Southwest Texas RAC",733,98,806,255,5002
"Southeast Texas Trauma RAC",1524,107,1556,814,12634
"East Texas Gulf Coast RAC",341,27,277,107,1423
"Golden Crescent RAC",246,19,65,39,301
"Seven Flags RAC",55,8,89,13,340
"Coastal Bend RAC",578,31,192,76,1019
"Lower Rio Grande Valley RAC",786,64,422,199,2214
