TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1041,239,14,106,178
B,1426,241,12,166,228
C,1171,215,2,112,139
D,943,204,1,85,168
E,16098,1270,70,1946,3261
F,870,137,4,155,209
G,2813,533,13,158,740
H,603,142,4,80,146
I,1978,257,8,278,110
J,1614,512,15,298,209
K,822,299,8,138,70
L,1118,87,5,143,188
M,637,61,2,61,227
N,592,45,0,77,124
O,4228,532,2,373,580
P,6780,848,85,646,907
Q,14924,1394,68,940,2769
R,1861,180,2,244,503
S,584,132,3,55,163
T,414,16,7,79,42
U,1356,41,0,143,339
V,2818,539,18,313,410
