TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,942,217,13,131,101
B,1444,241,19,231,149
C,1202,255,2,105,47
D,923,223,3,94,92
E,16368,1310,96,1964,1931
F,879,169,15,79,148
G,2750,588,29,205,317
H,559,87,6,114,64
I,2058,270,24,266,74
J,1677,576,19,251,119
K,883,339,21,67,47
L,1101,71,3,87,197
M,631,114,14,56,110
N,588,63,4,82,86
O,4638,465,21,301,552
P,6548,598,62,709,897
Q,14038,1374,81,1234,2029
R,1898,230,6,246,317
S,549,88,5,47,108
T,469,11,0,74,50
U,1386,216,3,204,241
V,3077,570,25,335,454
