TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,944,236,5,149,28
B,1539,319,20,238,65
C,1210,300,4,101,23
D,845,230,4,88,23
E,15541,1676,155,2139,813
F,1014,379,37,68,61
G,2916,839,40,210,125
H,569,144,18,113,13
I,2000,320,38,258,60
J,1780,685,24,252,52
K,875,368,15,92,10
L,1093,101,11,109,70
M,639,147,12,62,31
N,572,86,0,76,48
O,4581,700,50,354,213
P,6394,873,93,793,291
Q,14077,1687,108,1487,701
R,1575,166,14,232,113
S,571,178,14,47,38
T,454,38,3,77,21
U,1612,491,29,199,78
V,3057,708,46,381,169
