TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,942,233,5,149,29
B,1545,313,23,228,58
C,1205,288,2,101,22
D,869,233,3,90,20
E,15974,1669,161,2143,784
F,1052,374,37,85,53
G,2828,690,37,210,128
H,508,106,15,112,12
I,2005,310,36,259,66
J,1807,694,25,252,45
K,865,370,19,84,12
L,1084,100,9,114,68
M,663,126,10,65,23
N,601,87,0,76,48
O,4669,694,43,350,204
P,6516,790,84,794,297
Q,14612,1690,113,1337,671
R,1379,178,22,276,109
S,565,171,7,49,33
T,466,32,2,75,19
U,1693,555,40,196,71
V,3086,716,49,378,166
