TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,959,236,8,133,80
B,1430,276,29,237,150
C,1194,282,5,105,31
D,850,235,3,99,68
E,15521,1428,103,1961,1694
F,1183,497,42,82,117
G,2800,718,42,209,250
H,391,130,11,86,54
I,1966,300,23,272,66
J,1690,585,26,259,99
K,877,361,13,82,43
L,1010,93,5,93,187
M,629,133,11,51,74
N,555,58,3,73,94
O,4423,497,10,315,454
P,6482,681,85,751,727
Q,13649,1388,62,1373,1695
R,1633,171,14,212,323
S,495,122,7,54,85
T,399,9,3,79,42
U,1653,498,42,201,205
V,3049,695,45,365,315
