"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",262,5,136,44,656
"BRAC",356,33,286,30,1055
"North Texas RAC",351,16,131,16,813
"Big Country RAC",251,2,112,19,586
"North Central Texas RAC",2078,208,2175,736,13037
"Northeast Texas RAC",367,24,90,24,617
"Piney Woods RAC",860,51,334,97,1922
"Deep East Texas RAC",190,17,111,34,374
"Far West Texas & Southern New Mexico RAC",366,65,302,251,1549
"Texas ""J"" RAC",614,27,280,42,1060
"Concho Valley RAC",367,22,153,8,309
"Central Texas RAC",149,9,124,51,882
"Central Texas RAC",130,8,76,26,464
"Brazos Valley RAC",74,1,59,34,403
"Capital Area Trauma RAC",809,93,343,223,3375
"Southwest Texas RAC",987,140,817,279,4927
"Southeast Texas Trauma RAC",1744,127,1308,1299,11946
"East Texas Gulf Coast RAC",292,11,311,177,1460
"Golden Crescent RAC",311,20,66,29,270
"Seven Flags RAC",98,16,93,20,329
"Coastal Bend RAC",581,39,187,88,1070
"Lower Rio Grande Valley RAC",922,114,448,225,2230
