"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",273,7,149,25,569
"BRAC",357,19,235,32,1104
"North Texas RAC",298,7,93,6,845
"Big Country RAC",294,9,102,12,470
"North Central Texas RAC",2084,238,2325,477,12503
"Northeast Texas RAC",415,48,98,28,554
"Piney Woods RAC",904,45,295,94,1856
"Deep East Texas RAC",147,15,126,39,357
"Far West Texas & Southern New Mexico RAC",346,39,277,171,1490
"Texas ""J"" RAC",637,35,276,38,812
"Concho Valley RAC",356,18,128,3,333
"Central Texas RAC",143,16,122,40,876
"Central Texas RAC",156,17,79,13,400
"Brazos Valley RAC",123,15,76,27,329
"Capital Area Trauma RAC",618,54,340,149,3332
"Southwest Texas RAC",793,103,821,252,4790
"Southeast Texas Trauma RAC",1911,142,1464,852,11598
"East Texas Gulf Coast RAC",347,11,279,112,1353
"Golden Crescent RAC",296,13,69,32,258
"Seven Flags RAC",53,1,90,28,350
"Coastal Bend RAC",608,45,193,69,997
"Lower Rio Grande Valley RAC",855,65,450,185,2156
