"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",287,17,150,28,547
"BRAC",399,42,231,33,1031
"North Texas RAC",299,4,100,12,840
"Big Country RAC",239,11,107,20,507
"North Central Texas RAC",2034,250,2198,507,12424
"Northeast Texas RAC",395,44,96,29,554
"Piney Woods RAC",946,59,296,101,1717
"Deep East Texas RAC",182,12,124,21,306
"Far West Texas & Southern New Mexico RAC",408,46,273,147,1464
"Texas ""J"" RAC",644,41,263,31,820
"Concho Valley RAC",359,20,122,5,317
"Central Texas RAC",141,15,109,35,873
"Central Texas RAC",183,16,68,20,396
"Brazos Valley RAC",107,9,64,36,351
"Capital Area Trauma RAC",571,51,354,139,3304
"Southwest Texas RAC",922,121,814,247,4637
"Southeast Texas Trauma RAC",2005,137,1535,764,11307
"East Texas Gulf Coast RAC",307,21,259,115,1374
"Golden Crescent RAC",249,25,65,41,286
"Seven Flags RAC",43,2,88,16,303
"Coastal Bend RAC",674,33,186,61,952
"Lower Rio Grande Valley RAC",811,68,415,195,2038
