"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1211,375,11,122,220,616
"B",1585,341,16,199,313,931
"C",1258,350,13,111,88,820
"D",979,273,3,73,47,659
"E",15213,1743,233,1878,1399,12071
"F",1062,349,15,75,118,595
"G",2894,677,12,310,237,1980
"H",578,99,9,111,44,435
"I",2182,339,12,244,713,1130
"J",1810,625,35,221,138,1047
"K",563,180,17,63,38,345
"L",1258,285,30,116,40,933
"M",635,125,7,61,46,464
"N",592,101,9,52,51,440
"O",4282,797,62,535,147,3338
"P",6568,1231,172,821,251,5086
"Q",15503,2314,162,1276,528,12661
"R",1911,251,13,239,133,1527
"S",589,168,38,75,31,390
"T",499,69,15,92,64,366
"U",1692,540,67,245,98,1054
"V",3374,1027,86,409,251,2096
