"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",275,21,127,46,640
"BRAC",336,20,260,58,1052
"North Texas RAC",335,12,121,20,814
"Big Country RAC",268,4,112,21,529
"North Central Texas RAC",2010,229,2159,991,13165
"Northeast Texas RAC",420,32,97,38,568
"Piney Woods RAC",776,43,359,128,1867
"Deep East Texas RAC",165,10,106,40,380
"Far West Texas & Southern New Mexico RAC",325,43,302,258,1600
"Texas ""J"" RAC",578,29,264,50,901
"Concho Valley RAC",323,20,151,11,332
"Central Texas RAC",116,15,103,55,904
"Central Texas RAC",123,10,64,41,471
"Brazos Valley RAC",87,1,66,46,379
"Capital Area Trauma RAC",705,59,346,250,3548
"Southwest Texas RAC",1005,111,701,367,4882
"Southeast Texas Trauma RAC",1657,120,1364,1491,12351
"East Texas Gulf Coast RAC",286,8,293,201,1437
"Golden Crescent RAC",245,21,65,41,311
"Seven Flags RAC",115,22,94,29,334
"Coastal Bend RAC",520,39,181,110,1078
"Lower Rio Grande Valley RAC",996,188,439,264,2194
