"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",286,31,129,46,618
"BRAC",361,24,258,58,1026
"North Texas RAC",334,4,144,25,841
"Big Country RAC",236,4,112,36,618
"North Central Texas RAC",1788,182,2152,1279,13705
"Northeast Texas RAC",394,21,98,54,622
"Piney Woods RAC",726,22,345,182,2051
"Deep East Texas RAC",136,7,104,50,329
"Far West Texas & Southern New Mexico RAC",349,30,293,292,1616
"Texas ""J"" RAC",579,34,286,55,945
"Concho Valley RAC",317,19,141,18,334
"Central Texas RAC",123,15,112,75,914
"Central Texas RAC",129,8,55,42,465
"Brazos Valley RAC",56,6,81,48,460
"Capital Area Trauma RAC",717,64,344,262,3527
"Southwest Texas RAC",819,90,788,495,5210
"Southeast Texas Trauma RAC",1652,114,1327,1542,12660
"East Texas Gulf Coast RAC",317,16,291,216,1572
"Golden Crescent RAC",286,30,60,52,304
"Seven Flags RAC",119,23,101,37,354
"Coastal Bend RAC",527,25,176,100,1127
"Lower Rio Grande Valley RAC",955,191,437,299,2289
