"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1222,356,4,122,236,630
"B",1564,283,18,182,296,985
"C",1264,339,13,105,95,830
"D",1000,271,3,74,50,679
"E",15304,1706,231,1993,1384,12214
"F",1087,376,12,75,113,598
"G",2908,639,10,306,249,2020
"H",743,142,17,110,46,555
"I",2228,371,11,243,642,1215
"J",1796,634,32,214,147,1015
"K",553,194,16,47,39,320
"L",1257,270,32,119,42,945
"M",626,120,6,61,47,459
"N",614,93,1,48,47,474
"O",4272,754,71,533,157,3361
"P",6642,1223,155,807,247,5172
"Q",14859,1714,123,1391,653,12492
"R",1965,229,14,241,147,1589
"S",591,175,29,75,26,390
"T",498,71,17,80,64,363
"U",1648,533,46,238,96,1019
"V",3351,1066,104,389,242,2043
