"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1203,325,26,164,255
"B",1541,349,19,247,333
"C",1211,288,7,100,141
"D",927,206,0,84,198
"E",15680,1594,75,1838,3751
"F",1068,336,1,63,208
"G",3122,787,24,234,621
"H",546,160,13,93,124
"I",2118,499,79,353,376
"J",1754,673,45,240,209
"K",862,323,22,108,113
"L",966,139,13,78,209
"M",629,120,4,62,164
"N",588,74,0,48,140
"O",3890,737,56,305,567
"P",6660,1177,79,660,1291
"Q",13909,2241,101,1406,2426
"R",1889,340,15,239,381
"S",561,220,12,62,107
"T",490,61,16,67,190
"U",1674,599,39,187,206
"V",3422,1026,58,409,553
