"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",310,26,134,44,618
"BRAC",461,45,239,39,962
"North Texas RAC",357,14,127,8,808
"Big Country RAC",296,14,107,12,524
"North Central Texas RAC",2364,267,2232,585,12158
"Northeast Texas RAC",446,32,90,20,548
"Piney Woods RAC",1016,51,341,68,1716
"Deep East Texas RAC",252,13,117,27,341
"Far West Texas & Southern New Mexico RAC",400,68,300,180,1444
"Texas ""J"" RAC",658,32,271,33,788
"Concho Valley RAC",353,22,165,4,321
"Central Texas RAC",142,15,121,48,860
"Central Texas RAC",124,7,62,28,439
"Brazos Valley RAC",93,1,63,46,368
"Capital Area Trauma RAC",852,83,343,197,3256
"Southwest Texas RAC",1055,122,840,222,4611
"Southeast Texas Trauma RAC",1895,119,1444,1149,11272
"East Texas Gulf Coast RAC",317,15,316,172,1395
"Golden Crescent RAC",320,22,65,20,247
"Seven Flags RAC",113,17,90,12,286
"Coastal Bend RAC",572,33,194,83,1009
"Lower Rio Grande Valley RAC",1041,152,430,164,2026
