"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"Panhandle RAC",310,20,135,42,626
"BRAC",369,24,284,43,1015
"North Texas RAC",372,18,131,16,797
"Big Country RAC",287,4,111,20,526
"North Central Texas RAC",2140,218,2147,824,12803
"Northeast Texas RAC",393,21,91,25,600
"Piney Woods RAC",897,42,360,115,1873
"Deep East Texas RAC",213,15,104,34,262
"Far West Texas & Southern New Mexico RAC",391,67,309,257,1558
"Texas ""J"" RAC",589,24,280,41,1032
"Concho Valley RAC",340,19,163,9,334
"Central Texas RAC",147,14,121,50,833
"Central Texas RAC",126,6,72,32,454
"Brazos Valley RAC",76,3,68,37,388
"Capital Area Trauma RAC",797,91,350,219,3288
"Southwest Texas RAC",968,118,823,287,4833
"Southeast Texas Trauma RAC",1813,148,1406,1285,12029
"East Texas Gulf Coast RAC",261,9,275,194,1545
"Golden Crescent RAC",287,33,71,28,284
"Seven Flags RAC",82,19,96,26,340
"Coastal Bend RAC",593,23,196,89,1067
"Lower Rio Grande Valley RAC",959,167,454,242,2112
