TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,984,227,8,134,77
B,1503,267,24,234,117
C,1217,283,4,105,33
D,944,228,3,94,65
E,16229,1463,121,2048,1507
F,1194,480,54,118,123
G,2786,629,45,219,238
H,439,76,9,69,51
I,2076,267,24,272,67
J,1687,570,20,259,87
K,878,364,14,90,35
L,1108,120,4,98,155
M,648,128,7,53,65
N,579,59,2,72,85
O,4620,496,9,304,400
P,6644,592,40,733,683
Q,14359,1315,62,1330,1553
R,1740,198,9,278,300
S,542,98,3,49,78
T,443,12,3,81,47
U,1672,496,52,182,188
V,3172,704,52,364,297
