TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,981,240,18,103,173
B,1357,223,7,228,262
C,1177,202,9,117,121
D,952,190,1,86,175
E,16231,1209,79,1783,3481
F,852,138,10,43,202
G,2733,538,11,131,785
H,545,98,9,79,176
I,1969,218,8,249,120
J,1745,546,22,222,287
K,864,343,10,126,80
L,1123,108,5,108,256
M,631,74,0,40,209
N,590,32,0,75,153
O,4132,449,2,358,702
P,6659,681,82,578,1289
Q,14959,1350,61,1167,3450
R,1917,195,0,232,580
S,589,104,6,47,186
T,430,12,5,76,79
U,1460,112,0,119,498
V,2909,432,14,247,631
