TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,959,238,11,131,129
B,1578,362,15,199,228
C,1219,268,2,100,72
D,865,183,0,81,125
E,15890,1334,83,1999,2717
F,877,127,5,110,176
G,2734,563,15,182,514
H,453,128,0,64,124
I,2040,287,23,259,90
J,1659,543,18,251,248
K,867,362,16,118,58
L,1079,77,3,73,243
M,601,68,0,60,148
N,547,44,0,68,136
O,4168,430,1,326,667
P,6770,647,55,619,1243
Q,14510,1437,52,1051,2850
R,1737,128,0,178,554
S,569,133,5,46,149
T,448,3,0,54,86
U,1315,108,0,127,403
V,2817,378,18,321,592
