"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1358,657,63,120,83,618
"B",1384,378,21,219,118,888
"C",656,302,16,107,27,327
"D",812,305,8,85,20,487
"E",13856,1941,264,1885,804,11111
"F",957,341,8,66,99,517
"G",2121,509,47,310,155,1457
"H",577,215,11,97,59,303
"I",1772,432,10,288,150,1190
"J",1310,608,35,230,56,646
"K",665,424,35,78,15,226
"L",1038,309,32,114,33,696
"M",555,144,6,62,63,348
"N",478,162,10,61,15,301
"O",3586,806,134,507,96,2684
"P",5419,1172,157,850,264,3983
"Q",13274,2161,184,1456,493,10620
"R",1948,498,48,243,137,1313
"S",479,172,27,74,51,256
"T",420,54,5,66,88,278
"U",1593,605,48,232,98,890
"V",2925,1061,122,432,293,1571
