"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1315,612,62,119,84,619
"B",1498,354,17,212,126,1018
"C",671,301,13,102,33,337
"D",866,359,3,81,31,476
"E",14426,2058,286,1860,830,11538
"F",973,377,14,79,72,524
"G",2133,441,27,304,187,1505
"H",552,162,14,98,54,336
"I",1817,382,18,309,166,1269
"J",1309,596,38,233,47,666
"K",487,220,19,77,11,256
"L",1109,284,27,110,32,793
"M",549,104,9,59,57,388
"N",479,140,2,60,18,321
"O",3314,529,85,525,81,2704
"P",5980,1125,170,812,250,4605
"Q",14085,1986,154,1508,497,11602
"R",1717,263,18,258,135,1319
"S",479,148,29,73,47,284
"T",425,62,23,67,89,274
"U",1531,460,52,225,102,969
"V",3113,1023,107,410,278,1812
