TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,967,288,19,153,21
B,1601,408,32,254,29
C,1242,287,9,108,6
D,925,235,4,100,12
E,16087,1906,232,2196,289
F,1071,382,39,91,25
G,2899,743,53,269,61
H,622,174,10,118,18
I,2085,359,44,247,58
J,1761,691,37,301,18
K,870,347,21,109,9
L,1112,144,18,109,22
M,653,149,9,61,18
N,569,113,5,68,19
O,4454,672,65,364,86
P,6408,796,108,800,140
Q,14242,1759,158,1445,420
R,1710,260,13,265,49
S,586,194,13,46,34
T,456,65,7,73,15
U,1732,664,38,186,38
V,3057,755,64,447,117
