TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,917,260,10,155,19
B,1545,379,28,241,29
C,1214,304,5,102,7
D,892,271,4,98,11
E,15116,1979,232,2225,334
F,1021,374,36,89,25
G,2839,839,60,252,58
H,506,160,18,128,15
I,1988,381,42,242,74
J,1746,709,33,299,20
K,838,344,27,109,10
L,1045,130,14,107,19
M,606,149,6,64,16
N,600,108,10,63,22
O,4290,727,83,363,95
P,6350,876,128,808,157
Q,14311,1987,147,1547,504
R,1582,251,17,284,62
S,638,272,19,53,39
T,396,48,5,69,14
U,1796,812,61,191,40
V,2892,750,56,430,126
