TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1096,243,20,107,177
B,1466,221,5,167,254
C,1188,211,2,112,125
D,951,204,0,84,167
E,16655,1109,64,1818,3397
F,872,100,1,49,211
G,2861,509,9,150,769
H,559,116,1,74,154
I,2121,223,3,281,109
J,1678,500,11,270,228
K,854,287,2,126,68
L,1144,81,5,143,248
M,614,45,3,50,218
N,590,39,0,71,121
O,4347,508,1,380,594
P,6871,659,75,655,986
Q,14930,1310,40,1231,2875
R,1987,157,0,239,499
S,603,108,6,55,174
T,446,21,4,84,54
U,1393,33,0,143,399
V,2951,517,25,311,419
