TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1025,228,14,109,161
B,1387,215,13,224,277
C,1190,210,4,113,106
D,930,177,0,77,153
E,16524,1114,72,1848,3247
F,845,126,7,58,198
G,2765,524,8,170,728
H,518,85,9,77,170
I,2038,268,21,256,127
J,1804,580,25,247,315
K,870,336,6,86,78
L,1198,104,2,117,302
M,643,72,0,41,195
N,574,28,0,63,163
O,4353,480,7,327,748
P,6730,662,56,586,1349
Q,15248,1391,48,1141,3435
R,1837,176,1,208,574
S,566,86,2,44,180
T,465,11,0,63,96
U,1441,129,0,139,532
V,2817,364,8,241,655
