TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,941,240,8,150,27
B,1519,350,29,245,27
C,1200,279,3,101,13
D,878,225,2,95,18
E,15535,1846,189,2149,563
F,1024,399,37,72,45
G,2852,779,50,245,86
H,585,212,22,114,12
I,1908,290,28,245,48
J,1730,707,32,277,23
K,870,374,24,92,6
L,1115,141,12,104,44
M,692,200,20,61,17
N,554,78,9,78,40
O,4551,720,67,354,115
P,7211,846,98,802,230
Q,14025,1874,140,1595,467
R,1590,186,15,194,87
S,580,191,11,54,25
T,433,32,0,84,18
U,1640,507,35,190,58
V,3025,768,38,403,131
