TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,941,246,15,149,26
B,1541,340,24,248,30
C,1229,287,6,104,11
D,904,261,8,98,5
E,16031,1861,215,2322,506
F,1049,399,48,95,18
G,2934,785,46,262,86
H,557,114,10,112,21
I,2119,367,43,255,113
J,1669,633,19,267,39
K,877,358,20,118,5
L,1127,144,17,109,41
M,641,170,11,75,18
N,551,73,10,71,23
O,4249,588,34,368,175
P,6324,696,97,783,233
Q,14203,1740,138,1587,733
R,1842,275,13,211,100
S,654,263,9,61,50
T,451,34,4,92,12
U,1686,594,44,181,53
V,3048,805,72,400,194
