TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,960,225,7,134,78
B,1436,263,27,231,119
C,1191,283,7,105,32
D,942,227,2,94,65
E,15995,1538,147,2068,1597
F,1189,490,46,117,126
G,2828,703,43,206,241
H,422,113,9,86,50
I,1989,265,19,267,66
J,1691,579,26,259,97
K,877,371,13,92,38
L,1088,122,5,96,165
M,653,143,7,45,76
N,566,61,2,68,94
O,4509,490,7,304,439
P,6659,682,70,744,709
Q,15197,1311,71,1281,1662
R,1741,217,13,261,311
S,494,99,5,52,86
T,422,9,2,82,42
U,1701,544,46,197,192
V,3101,695,44,364,309
