"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases","Hospital_Beds_Taken"
"A",1353,650,60,122,82,621
"B",1386,414,22,207,117,855
"C",660,305,10,107,25,330
"D",795,323,13,84,22,450
"E",13586,1971,302,1898,832,10783
"F",950,363,11,76,106,481
"G",2084,546,44,299,179,1359
"H",546,192,10,99,58,296
"I",1722,398,11,305,164,1160
"J",1342,638,40,233,49,655
"K",673,426,36,84,17,230
"L",1043,291,29,113,33,719
"M",557,147,7,60,49,361
"N",481,151,10,65,21,309
"O",3530,859,158,529,86,2585
"P",5160,1152,174,841,259,3749
"Q",12578,2348,210,1508,492,9738
"R",1633,299,17,248,143,1191
"S",489,172,29,75,47,270
"T",436,93,13,69,79,264
"U",1572,644,55,224,119,809
"V",2915,1117,139,438,272,1526
