"TSA","Hospital_Beds_Staffed","Hospital_Beds_Available","ICU_Beds_Available","Ventilators_Available","Current_Cases"
"A",1066,178,9,109,339
"B",1512,269,17,172,334
"C",1331,355,12,111,113
"D",886,275,1,77,70
"E",14510,1739,166,1945,1557
"F",1008,357,17,72,122
"G",2817,625,24,305,267
"H",635,177,12,90,56
"I",2318,345,21,258,997
"J",1734,635,39,219,166
"K",558,214,16,70,40
"L",1227,291,34,107,46
"M",622,121,5,56,60
"N",612,93,2,47,67
"O",4325,862,94,522,144
"P",5957,1109,142,623,307
"Q",14854,2427,198,1654,619
"R",1819,260,16,209,139
"S",583,267,26,68,36
"T",501,102,17,74,62
"U",1727,638,42,252,102
"V",3368,1124,81,461,229
