TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,1102,229,18,116,164
B,1480,238,18,168,227
C,1215,282,6,84,97
D,928,235,0,80,120
E,16324,1346,58,1994,2855
F,868,122,4,64,163
G,2823,556,11,189,647
H,509,132,2,67,151
I,1955,237,4,288,99
J,1714,564,13,310,194
K,851,304,4,120,70
L,1136,108,6,151,188
M,617,50,0,68,169
N,596,37,0,80,107
O,4311,600,17,393,486
P,6735,868,90,684,815
Q,15399,1485,71,1062,2265
R,1840,200,5,293,344
S,635,198,12,57,113
T,446,36,5,79,42
U,1297,59,2,155,278
V,2794,598,34,339,343
