TSA,Hospital_Beds_Staffed,Hospital_Beds_Available,ICU_Beds_Available,Ventilators_Available,Current_Cases
A,992,278,15,150,24
B,1557,354,20,238,56
C,1244,295,9,102,8
D,883,229,4,102,10
E,16106,1768,235,2232,443
F,1023,363,46,93,18
G,2797,683,51,255,79
H,553,111,16,129,22
I,2085,338,31,260,80
J,1741,662,27,296,30
K,874,356,25,106,12
L,1099,87,4,110,45
M,632,124,8,68,15
N,598,75,2,55,27
O,4366,595,47,373,118
P,6347,716,93,787,167
Q,14697,1847,178,1534,605
R,1758,262,12,287,69
S,606,220,20,54,49
T,439,51,6,86,13
U,1803,759,75,198,46
V,3068,719,66,436,134
